name,years,genre,nationality
Amedeo Modigliani,1884 - 1920,Expressionism,Italian
Vasiliy Kandinskiy,1866 - 1944,"Expressionism,Abstractionism",Russian
Diego Rivera,1886 - 1957,"Social Realism,Muralism",Mexican
Claude Monet,1840 - 1926,Impressionism,French
Rene Magritte,1898 - 1967,"Surrealism,Impressionism",Belgian
Salvador Dali,1904 - 1989,Surrealism,Spanish
Edouard Manet,1832 - 1883,"Realism,Impressionism",French
Andrei Rublev,1360 - 1430,Byzantine Art,Russian
Vincent van Gogh,1853 – 1890,Post-Impressionism,Dutch
Gustav Klimt,1862 - 1918,"Symbolism,Art Nouveau",Austrian
Hieronymus Bosch,1450 - 1516,Northern Renaissance,Dutch
Kazimir Malevich,1879 - 1935,Suprematism,Russian
Mikhail Vrubel,1856 - 1910,Symbolism,Russian
Pablo Picasso,1881 - 1973,Cubism,Spanish
Peter Paul Rubens,1577 - 1640,Baroque,Flemish
Pierre-Auguste Renoir,1841 - 1919,Impressionism,French
Francisco Goya,1746 - 1828,Romanticism,Spanish
Frida Kahlo,1907 - 1954,"Primitivism,Surrealism",Mexican
El Greco,1541 - 1614,Mannerism,"Spanish,Greek"
Albrecht Dürer,1471 - 1528,Northern Renaissance,German
Alfred Sisley,1839 - 1899,Impressionism,"French,British"
Pieter Bruegel,1525 - 1569,Northern Renaissance,Flemish
Marc Chagall,1887 - 1985,Primitivism,"French,Jewish,Belarusian"
Giotto di Bondone,1266 - 1337,Proto Renaissance,Italian
Sandro Botticelli,1445 - 1510,Early Renaissance,Italian
Caravaggio,1571 - 1610,Baroque,Italian
Leonardo da Vinci,1452 - 1519,High Renaissance,Italian
Diego Velazquez,1599 - 1660,Baroque,Spanish
Henri Matisse,1869 - 1954,"Impressionism,Post-Impressionism",French
Jan van Eyck,1395 - 1441,Northern Renaissance,Flemish
Edgar Degas,1834 - 1917,Impressionism,French
Rembrandt,1606 - 1669,Baroque,Dutch
Titian,1488 - 1576,"High Renaissance,Mannerism",Italian
Henri de Toulouse-Lautrec,1864 – 1901,Post-Impressionism,French
Gustave Courbet,1819 - 1877,Realism,French
Camille Pissarro,1830 - 1903,"Impressionism,Post-Impressionism",French
William Turner,1775 - 1851,Romanticism,British
Edvard Munch,1863 - 1944,"Symbolism,Expressionism",Norwegian
Paul Cezanne,1839 – 1906,Post-Impressionism,French
Eugene Delacroix,1798 – 1863,Romanticism,French
Henri Rousseau,1844 – 1910,Primitivism,French
Georges Seurat,1859 – 1891,Post-Impressionism,French
Paul Klee,1879 – 1940,"Expressionism,Abstractionism,Surrealism","German,Swiss"
Piet Mondrian,1872 – 1944,Neoplasticism,Dutch
Joan Miro,1893 – 1983,Surrealism,Spanish
Andy Warhol,1928 – 1987,Pop Art,American
Paul Gauguin,1848 – 1903,"Symbolism,Post-Impressionism",French
Raphael,1483 – 1520,High Renaissance,Italian
Michelangelo,1475 – 1564,High Renaissance,Italian
Jackson Pollock,1912 – 1956,Abstract Expressionism,American
